train_loss_step,epoch,step,val_loss,val_acc,train_loss_epoch
1.210880994796753,0,49,,,
1.0299166440963745,0,99,,,
1.121657133102417,0,149,,,
,0,174,0.9165194034576416,0.6689382791519165,
,0,174,,,1.2423657178878784
0.8622453212738037,1,199,,,
0.8874653577804565,1,249,,,
0.6983846426010132,1,299,,,
0.6613348722457886,1,349,,,
,1,349,0.7508125305175781,0.717718780040741,
,1,349,,,0.8253795504570007
0.7667039036750793,2,399,,,
0.7447353601455688,2,449,,,
0.6352818608283997,2,499,,,
,2,524,0.676659345626831,0.7553802132606506,
,2,524,,,0.6744526028633118
0.6668978929519653,3,549,,,
0.6168190240859985,3,599,,,
0.39413464069366455,3,649,,,
0.4838499128818512,3,699,,,
,3,699,0.6553698778152466,0.7697274088859558,
,3,699,,,0.5777345895767212
0.5191515684127808,4,749,,,
0.4280328154563904,4,799,,,
0.5202210545539856,4,849,,,
,4,874,0.5565215945243835,0.807747483253479,
,4,874,,,0.47766152024269104
0.16862477362155914,5,899,,,
0.49169138073921204,5,949,,,
0.3270408809185028,5,999,,,
0.47139546275138855,5,1049,,,
,5,1049,0.5581626296043396,0.8045193552970886,
,5,1049,,,0.4134032130241394
0.17164826393127441,6,1099,,,
0.4323127269744873,6,1149,,,
0.2332264482975006,6,1199,,,
,6,1224,0.5222340226173401,0.818149209022522,
,6,1224,,,0.33591389656066895
0.25145387649536133,7,1249,,,
0.17549288272857666,7,1299,,,
0.2126537561416626,7,1349,,,
0.4232621490955353,7,1399,,,
,7,1399,0.5216569900512695,0.8224533796310425,
,7,1399,,,0.29535943269729614
0.23197314143180847,8,1449,,,
0.31096556782722473,8,1499,,,
0.19693076610565186,8,1549,,,
,8,1574,0.5457615852355957,0.8167144656181335,
,8,1574,,,0.23584049940109253
0.26570427417755127,9,1599,,,
0.1510293334722519,9,1649,,,
0.1730722039937973,9,1699,,,
0.3756798803806305,9,1749,,,
,9,1749,0.49512016773223877,0.8428981304168701,
,9,1749,,,0.1994066685438156
0.1558896005153656,10,1799,,,
0.28695064783096313,10,1849,,,
0.17208561301231384,10,1899,,,
,10,1924,0.45303988456726074,0.8479196429252625,
,10,1924,,,0.17733509838581085
0.07859501242637634,11,1949,,,
0.15185143053531647,11,1999,,,
0.3283577263355255,11,2049,,,
0.21476900577545166,11,2099,,,
,11,2099,0.4919264018535614,0.8493543863296509,
,11,2099,,,0.15465925633907318
0.10508589446544647,12,2149,,,
0.26180750131607056,12,2199,,,
0.07356606423854828,12,2249,,,
,12,2274,0.5013982057571411,0.8472023010253906,
,12,2274,,,0.141580730676651
0.14603294432163239,13,2299,,,
0.18724621832370758,13,2349,,,
0.038220953196287155,13,2399,,,
0.027749724686145782,13,2449,,,
,13,2449,0.4593695104122162,0.863701581954956,
,13,2449,,,0.11122074723243713
0.10345906764268875,14,2499,,,
0.061979398131370544,14,2549,,,
0.18294908106327057,14,2599,,,
,14,2624,0.44267937541007996,0.8683643937110901,
,14,2624,,,0.09648513793945312
0.17947228252887726,15,2649,,,
0.06268526613712311,15,2699,,,
0.13069093227386475,15,2749,,,
0.19333896040916443,15,2799,,,
,15,2799,0.4197365939617157,0.8733859658241272,
,15,2799,,,0.0925835445523262
0.11039495468139648,16,2849,,,
0.030405819416046143,16,2899,,,
0.11884529888629913,16,2949,,,
,16,2974,0.5216439366340637,0.8601147532463074,
,16,2974,,,0.08177908509969711
0.15198664367198944,17,2999,,,
0.10664728283882141,17,3049,,,
0.0477592833340168,17,3099,,,
0.009517854079604149,17,3149,,,
