train_loss_step,epoch,step,val_loss,val_acc,train_loss_epoch
1.3422471284866333,0,49,,,
1.0498003959655762,0,99,,,
0.8437931537628174,0,149,,,
,0,174,0.9030185341835022,0.6675035953521729,
,0,174,,,1.2812987565994263
0.7235161066055298,1,199,,,
0.8851795792579651,1,249,,,
0.5813081860542297,1,299,,,
0.5089203119277954,1,349,,,
,1,349,0.7568036317825317,0.7284792065620422,
,1,349,,,0.8332386612892151
0.6895022988319397,2,399,,,
0.9211001992225647,2,449,,,
0.6309418678283691,2,499,,,
,2,524,0.6989908814430237,0.7553802132606506,
,2,524,,,0.6775160431861877
0.6712780594825745,3,549,,,
0.46156880259513855,3,599,,,
0.6000058650970459,3,649,,,
0.6164239645004272,3,699,,,
,3,699,0.6516515016555786,0.7693687081336975,
,3,699,,,0.5578937530517578
0.5196962952613831,4,749,,,
0.42602235078811646,4,799,,,
0.4573109447956085,4,849,,,
,4,874,0.5986322164535522,0.7962697148323059,
,4,874,,,0.45730292797088623
0.33249884843826294,5,899,,,
0.34174972772598267,5,949,,,
0.3155251741409302,5,999,,,
0.35690149664878845,5,1049,,,
,5,1049,0.5650888681411743,0.8109756112098694,
,5,1049,,,0.3943970501422882
0.3541626036167145,6,1099,,,
0.16780440509319305,6,1149,,,
0.37069791555404663,6,1199,,,
,6,1224,0.542377769947052,0.8217360377311707,
,6,1224,,,0.33593109250068665
0.2720993757247925,7,1249,,,
0.1807483434677124,7,1299,,,
0.271562784910202,7,1349,,,
0.08107732981443405,7,1399,,,
,7,1399,0.5508217215538025,0.8281922340393066,
,7,1399,,,0.266652911901474
0.27772676944732666,8,1449,,,
0.17821404337882996,8,1499,,,
0.15066568553447723,8,1549,,,
,8,1574,0.5074391961097717,0.837159276008606,
,8,1574,,,0.22674411535263062
0.34568139910697937,9,1599,,,
0.19776107370853424,9,1649,,,
0.19845885038375854,9,1699,,,
0.17216725647449493,9,1749,,,
,9,1749,0.5354052782058716,0.8357245326042175,
,9,1749,,,0.19033142924308777
0.1726224571466446,10,1799,,,
0.16081120073795319,10,1849,,,
0.161636084318161,10,1899,,,
,10,1924,0.5134975910186768,0.8454089164733887,
,10,1924,,,0.16508933901786804
0.20732006430625916,11,1949,,,
0.15661315619945526,11,1999,,,
0.19961656630039215,11,2049,,,
0.016864173114299774,11,2099,,,
,11,2099,0.49854856729507446,0.8554519414901733,
