dataset,model,mean,std,80_mean,80_std,80_count,max
CIFAR-10,ConvNext,0.9775300025939941,0.0016364236902834965,0.9775300025939941,0.0016364236902834965,10,0.9803000092506408
CIFAR-10,Swin Transformer,0.9874799966812133,0.0008689802887362582,0.9874799966812133,0.0008689802887362582,10,0.9883999824523926
ISIC 2019,ConvNext,0.8030447959899902,0.012883111162615563,0.8030447959899902,0.012883111162615563,9,0.8213773369789124
ISIC 2019,Swin Transformer,0.8530308455228806,0.08053688904563626,0.881379382950919,0.008160037977297509,7,0.8923959732055664
