val_loss,val_acc,epoch,step,train_loss_epoch,train_loss_step
1.2402414083480835,0.866599977016449,0,48,,
,,0,48,1.8181065320968628,
,,1,49,,1.227111577987671
0.37550386786460876,0.9491999745368958,1,97,,
,,1,97,0.7419989705085754,
,,2,99,,0.34207218885421753
0.16692747175693512,0.9656999707221985,2,146,,
,,2,146,0.23167474567890167,
,,3,149,,0.14711371064186096
0.11666157096624374,0.9711999893188477,3,195,,
,,3,195,0.11073454469442368,
,,4,199,,0.07603749632835388
0.0998108759522438,0.9733999967575073,4,244,,
,,4,244,0.06805887073278427,
,,5,249,,0.06365932524204254
0.09195417165756226,0.9745000004768372,5,293,,
,,5,293,0.04759364202618599,
,,6,299,,0.036338452249765396
0.09090622514486313,0.9754999876022339,6,342,,
,,6,342,0.03264130651950836,
,,7,349,,0.0235020462423563
0.09079227596521378,0.9750999808311462,7,391,,
,,7,391,0.020924948155879974,
,,8,399,,0.026035862043499947
0.09171948581933975,0.9754999876022339,8,440,,
,,8,440,0.01643059216439724,
,,9,449,,0.020326845347881317
0.09291422367095947,0.9761999845504761,9,489,,
,,9,489,0.01132132112979889,
,,10,499,,0.005680007394403219
0.09803742915391922,0.9754999876022339,10,538,,
,,10,538,0.00798480398952961,
,,11,549,,0.010415783151984215
0.09832822531461716,0.9760000109672546,11,587,,
,,11,587,0.007399573922157288,
,,12,599,,0.011057104915380478
0.10150721669197083,0.9757999777793884,12,636,,
,,12,636,0.005223643966019154,
,,13,649,,0.0029137039091438055
0.10404320061206818,0.9747999906539917,13,685,,
,,13,685,0.003861131612211466,
,,14,699,,0.0038922892417758703
0.10569770634174347,0.9746000170707703,14,734,,
,,14,734,0.003015332855284214,
,,15,749,,0.004582773894071579
0.10923340171575546,0.9751999974250793,15,783,,
,,15,783,0.0031292035710066557,
,,16,799,,0.0018883779412135482
0.10967165231704712,0.9757999777793884,16,832,,
,,16,832,0.002349282382056117,
,,17,849,,0.0016529106069356203
0.11066149920225143,0.9757000207901001,17,881,,
,,17,881,0.0022623834665864706,
,,18,899,,0.001288174418732524
0.11415666341781616,0.9753999710083008,18,930,,
,,18,930,0.002396093914285302,
,,19,949,,0.0013583200052380562
0.11696487665176392,0.9745000004768372,19,979,,
,,19,979,0.0020013696048408747,
,,20,999,,0.0011938492534682155
0.12120090425014496,0.9750000238418579,20,1028,,
,,20,1028,0.0019586023408919573,
,,21,1049,,0.0011873813346028328
0.11749526113271713,0.9751999974250793,21,1077,,
,,21,1077,0.0015776704531162977,
,,22,1099,,0.0010412662522867322
0.12084677815437317,0.9749000072479248,22,1126,,
,,22,1126,0.0012960851890966296,
,,23,1149,,0.0008827205747365952
0.1212540790438652,0.9747999906539917,23,1175,,
,,23,1175,0.0012523168697953224,
,,24,1199,,0.0010704873129725456
0.12381380796432495,0.9743000268936157,24,1224,,
,,24,1224,0.0008805316174402833,
,,25,1249,,0.0007138738292269409
0.1257178783416748,0.9747999906539917,25,1273,,
,,25,1273,0.000917867582757026,
,,26,1299,,0.0007705382886342704
0.12676532566547394,0.9750000238418579,26,1322,,
,,26,1322,0.0008933834615163505,
,,27,1349,,0.0006004975875839591
0.12890440225601196,0.9743000268936157,27,1371,,
,,27,1371,0.0008027976145967841,
,,28,1399,,0.0006022633169777691
0.13050854206085205,0.974399983882904,28,1420,,
,,28,1420,0.0008183470345102251,
,,29,1449,,0.0006029776996001601
0.13273221254348755,0.9740999937057495,29,1469,,
,,29,1469,0.0005966319586150348,
