train_loss_step,epoch,step,val_loss,val_acc,train_loss_epoch
1.6476352214813232,0,49,,,
,0,87,1.2172602415084839,0.5821377038955688,
,0,87,,,1.5798743963241577
1.1887494325637817,1,99,,,
1.0223236083984375,1,149,,,
,1,175,1.011279582977295,0.6402438879013062,
,1,175,,,1.0822495222091675
0.9300028085708618,2,199,,,
0.9750465154647827,2,249,,,
,2,263,0.8818650245666504,0.6840028762817383,
,2,263,,,0.8986635804176331
0.7227328419685364,3,299,,,
0.8544986248016357,3,349,,,
,3,351,0.8094485998153687,0.7109038829803467,
,3,351,,,0.7559569478034973
0.663640022277832,4,399,,,
,4,439,0.7857620716094971,0.7234576940536499,
,4,439,,,0.6406719088554382
0.5522591471672058,5,449,,,
0.435835599899292,5,499,,,
,5,527,0.7147812843322754,0.7485652565956116,
,5,527,,,0.5457627177238464
0.3793657720088959,6,549,,,
0.45987334847450256,6,599,,,
,6,615,0.7120053768157959,0.7525107860565186,
,6,615,,,0.45974162220954895
0.35808491706848145,7,649,,,
0.3871402144432068,7,699,,,
,7,703,0.6532865166664124,0.7765423059463501,
,7,703,,,0.363185316324234
0.3800852298736572,8,749,,,
,8,791,0.6315633654594421,0.7851506471633911,
,8,791,,,0.3107447922229767
0.23157137632369995,9,799,,,
0.2079702764749527,9,849,,,
,9,879,0.7041096091270447,0.7647058963775635,
,9,879,,,0.24804669618606567
0.24269281327724457,10,899,,,
0.15141645073890686,10,949,,,
,10,967,0.7730028033256531,0.7661405801773071,
,10,967,,,0.20617811381816864
0.22269073128700256,11,999,,,
0.15581440925598145,11,1049,,,
,11,1055,0.6720720529556274,0.7994978427886963,
,11,1055,,,0.1813565045595169
0.18551287055015564,12,1099,,,
,12,1143,0.6503530740737915,0.8023672699928284,
,12,1143,,,0.13089746236801147
0.0708279237151146,13,1149,,,
0.13404278457164764,13,1199,,,
,13,1231,0.6587602496147156,0.805954098701477,
,13,1231,,,0.10809740424156189
0.1042003184556961,14,1249,,,
0.067816361784935,14,1299,,,
,14,1319,0.6977108120918274,0.809540867805481,
,14,1319,,,0.09112243354320526
0.05810549482703209,15,1349,,,
0.06797858327627182,15,1399,,,
,15,1407,0.7048996686935425,0.8088235259056091,
,15,1407,,,0.07548540830612183
0.1043650358915329,16,1449,,,
,16,1495,0.7417585253715515,0.8045193552970886,
,16,1495,,,0.06589968502521515
0.048434481024742126,17,1499,,,
0.03530837967991829,17,1549,,,
,17,1583,0.8151242733001709,0.8020086288452148,
,17,1583,,,0.060061562806367874
0.03488631173968315,18,1599,,,
0.030761390924453735,18,1649,,,
,18,1671,0.739757239818573,0.8203012943267822,
,18,1671,,,0.04758434370160103
0.06345450133085251,19,1699,,,
0.06850459426641464,19,1749,,,
,19,1759,0.7080838680267334,0.8213773369789124,
,19,1759,,,0.03642630577087402
0.02495015598833561,20,1799,,,
,20,1847,0.8738248348236084,0.8063127398490906,
,20,1847,,,0.03653612360358238
0.011342133395373821,21,1849,,,
0.027671627700328827,21,1899,,,
,21,1935,0.7765640616416931,0.8084648251533508,
,21,1935,,,0.030661363154649734
0.02361038699746132,22,1949,,,
0.06314746290445328,22,1999,,,
,22,2023,0.7066254019737244,0.8260401487350464,
,22,2023,,,0.02743649296462536
0.02906704507768154,23,2049,,,
0.00840720534324646,23,2099,,,
,23,2111,0.8713976144790649,0.8012912273406982,
,23,2111,,,0.020634856075048447
0.030735615640878677,24,2149,,,
0.015162769705057144,24,2199,,,
,24,2199,0.7937243580818176,0.8188665509223938,
,24,2199,,,0.01745225489139557
0.008356979116797447,25,2249,,,
,25,2287,0.9433205127716064,0.7851506471633911,
,25,2287,,,0.01748870126903057
0.010535391047596931,26,2299,,,
0.009837362915277481,26,2349,,,
,26,2375,0.8184739351272583,0.8159971237182617,
,26,2375,,,0.0169987790286541
0.05595593899488449,27,2399,,,
0.010765689425170422,27,2449,,,
,27,2463,0.8724309206008911,0.8109756112098694,
,27,2463,,,0.01749390922486782
0.011100572533905506,28,2499,,,
0.011599901132285595,28,2549,,,
,28,2551,0.8152680993080139,0.8195839524269104,
,28,2551,,,0.01664154976606369
0.005826127249747515,29,2599,,,
,29,2639,0.7996960282325745,0.8246054649353027,
,29,2639,,,0.011877547949552536
