train_loss_step,epoch,step,val_loss,val_acc,train_loss_epoch
1.6515862941741943,0,49,,,
,0,87,1.291611671447754,0.5642037391662598,
,0,87,,,1.677240014076233
1.155604600906372,1,99,,,
0.843155026435852,1,149,,,
,1,175,1.0296286344528198,0.6377331614494324,
,1,175,,,1.147428035736084
0.9633614420890808,2,199,,,
0.9666634798049927,2,249,,,
,2,263,0.9000979661941528,0.6832855343818665,
,2,263,,,0.9301291108131409
0.7605868577957153,3,299,,,
0.7460666298866272,3,349,,,
,3,351,0.8297542333602905,0.7012194991111755,
,3,351,,,0.7830252051353455
0.6781617999076843,4,399,,,
,4,439,0.7750039100646973,0.7148493528366089,
,4,439,,,0.6754648685455322
0.6121913194656372,5,449,,,
0.4422875642776489,5,499,,,
,5,527,0.759154736995697,0.7299138903617859,
,5,527,,,0.5812820196151733
0.4392669200897217,6,549,,,
0.4939476549625397,6,599,,,
,6,615,0.7147295475006104,0.7464131712913513,
,6,615,,,0.48400625586509705
0.3886602222919464,7,649,,,
0.46517887711524963,7,699,,,
,7,703,0.6409566402435303,0.784074604511261,
,7,703,,,0.3987300395965576
0.2581692337989807,8,749,,,
,8,791,0.6466130614280701,0.7779770493507385,
,8,791,,,0.31269264221191406
0.29912883043289185,9,799,,,
0.3170681595802307,9,849,,,
,9,879,0.6440761089324951,0.7869440317153931,
,9,879,,,0.25820228457450867
0.2381986379623413,10,899,,,
0.24450170993804932,10,949,,,
,10,967,0.6445611715316772,0.7905308604240417,
,10,967,,,0.2031562477350235
0.1149454414844513,11,999,,,
0.20611393451690674,11,1049,,,
,11,1055,0.6585983037948608,0.8023672699928284,
,11,1055,,,0.1505165547132492
0.0870029479265213,12,1099,,,
,12,1143,0.6539491415023804,0.8023672699928284,
,12,1143,,,0.11372461169958115
0.14797312021255493,13,1149,,,
0.09162929654121399,13,1199,,,
,13,1231,0.7040503025054932,0.7898134589195251,
,13,1231,,,0.09698008000850677
0.07847669720649719,14,1249,,,
0.12358655035495758,14,1299,,,
,14,1319,0.642390787601471,0.821018636226654,
,14,1319,,,0.07065682858228683
0.0319632925093174,15,1349,,,
0.0885772854089737,15,1399,,,
,15,1407,0.6610226631164551,0.8124103546142578,
,15,1407,,,0.05915592238306999
0.07220324128866196,16,1449,,,
,16,1495,0.7138742208480835,0.8124103546142578,
,16,1495,,,0.04565749317407608
0.0332404188811779,17,1499,,,
0.022979523986577988,17,1549,,,
,17,1583,0.733788788318634,0.805954098701477,
,17,1583,,,0.03663567453622818
0.03335016593337059,18,1599,,,
0.016789736226201057,18,1649,,,
,18,1671,0.7071502804756165,0.8242467641830444,
,18,1671,,,0.026636168360710144
0.021473560482263565,19,1699,,,
0.011576376855373383,19,1749,,,
,19,1759,0.755561113357544,0.8195839524269104,
,19,1759,,,0.026074346154928207
0.026674166321754456,20,1799,,,
,20,1847,0.7029818892478943,0.8256815075874329,
,20,1847,,,0.026529457420110703
0.020489824935793877,21,1849,,,
0.02633967623114586,21,1899,,,
,21,1935,0.7250155806541443,0.826757550239563,
,21,1935,,,0.020733145996928215
0.011293776333332062,22,1949,,,
0.015895912423729897,22,1999,,,
,22,2023,0.8007386326789856,0.8156384229660034,
,22,2023,,,0.019725579768419266
0.006716274656355381,23,2049,,,
0.004470238462090492,23,2099,,,
,23,2111,0.8646357655525208,0.8045193552970886,
,23,2111,,,0.011684657074511051
0.0068223848938941956,24,2149,,,
0.007461865432560444,24,2199,,,
,24,2199,0.7844126224517822,0.8217360377311707,
,24,2199,,,0.009880023077130318
0.003514127805829048,25,2249,,,
,25,2287,0.8206629753112793,0.8188665509223938,
,25,2287,,,0.009853987023234367
0.0038271709345281124,26,2299,,,
0.004037424456328154,26,2349,,,
,26,2375,0.8058593273162842,0.8156384229660034,
,26,2375,,,0.010498957708477974
0.003933570813387632,27,2399,,,
0.0036890411283820868,27,2449,,,
,27,2463,0.7869386076927185,0.8235294222831726,
,27,2463,,,0.006252143532037735
0.008609412238001823,28,2499,,,
0.004499676637351513,28,2549,,,
,28,2551,0.7799139022827148,0.8199425935745239,
,28,2551,,,0.010151463560760021
0.008473140187561512,29,2599,,,
,29,2639,0.8428969383239746,0.8156384229660034,
,29,2639,,,0.008021662011742592
