val_loss,val_acc,epoch,step,train_loss_epoch,train_loss_step
1.2132980823516846,0.8676999807357788,0,48,,
,,0,48,1.7796871662139893,
,,1,49,,1.2328290939331055
0.3716960847377777,0.958299994468689,1,97,,
,,1,97,0.739203929901123,
,,2,99,,0.36652082204818726
0.15942725539207458,0.9681000113487244,2,146,,
,,2,146,0.22889605164527893,
,,3,149,,0.12983772158622742
0.11009997874498367,0.9735999703407288,3,195,,
,,3,195,0.10630389302968979,
,,4,199,,0.0810689628124237
0.09256850928068161,0.9753999710083008,4,244,,
,,4,244,0.06593961268663406,
,,5,249,,0.0467490628361702
0.08794098347425461,0.9750999808311462,5,293,,
,,5,293,0.04533972963690758,
,,6,299,,0.033016905188560486
0.08266507834196091,0.9764999747276306,6,342,,
,,6,342,0.031758617609739304,
,,7,349,,0.019427504390478134
0.08305463939905167,0.9775999784469604,7,391,,
,,7,391,0.02117149345576763,
,,8,399,,0.022325683385133743
0.08286192268133163,0.9771000146865845,8,440,,
,,8,440,0.015240105800330639,
,,9,449,,0.008237610571086407
0.08569083362817764,0.9775000214576721,9,489,,
,,9,489,0.012449919246137142,
,,10,499,,0.005311291199177504
0.08663925528526306,0.9778000116348267,10,538,,
,,10,538,0.010726996697485447,
,,11,549,,0.01174897886812687
0.09015954285860062,0.9768000245094299,11,587,,
,,11,587,0.007199818268418312,
,,12,599,,0.0040369764901697636
0.09472107142210007,0.9765999913215637,12,636,,
,,12,636,0.004984561819583178,
,,13,649,,0.003315842943266034
0.09784012287855148,0.9771000146865845,13,685,,
,,13,685,0.004186990205198526,
,,14,699,,0.0025958644691854715
0.09983288496732712,0.9761999845504761,14,734,,
,,14,734,0.0044648610055446625,
,,15,749,,0.002186300465837121
0.10325328260660172,0.9765999913215637,15,783,,
,,15,783,0.003138474188745022,
,,16,799,,0.0018395727965980768
0.10371806472539902,0.9769999980926514,16,832,,
,,16,832,0.002699540928006172,
,,17,849,,0.0018414336955174804
0.10674331337213516,0.9768000245094299,17,881,,
,,17,881,0.0022674601059406996,
,,18,899,,0.0015273233875632286
0.10823952406644821,0.9768000245094299,18,930,,
,,18,930,0.002004500012844801,
,,19,949,,0.0012428938644006848
0.11241264641284943,0.9765999913215637,19,979,,
,,19,979,0.0016318566631525755,
,,20,999,,0.0011644422775134444
0.11058994382619858,0.9768000245094299,20,1028,,
,,20,1028,0.001623132498934865,
,,21,1049,,0.0011588335037231445
0.11435692012310028,0.9768000245094299,21,1077,,
,,21,1077,0.0011483674170449376,
,,22,1099,,0.0010358166182413697
0.11862049251794815,0.9761999845504761,22,1126,,
,,22,1126,0.0014132097130641341,
,,23,1149,,0.0011671860702335835
0.11755649745464325,0.9769999980926514,23,1175,,
,,23,1175,0.0009502600878477097,
,,24,1199,,0.0007236107485368848
0.11929424107074738,0.9768999814987183,24,1224,,
,,24,1224,0.0008555716485716403,
,,25,1249,,0.000675902352668345
0.12119966000318527,0.9761999845504761,25,1273,,
,,25,1273,0.0008838599896989763,
,,26,1299,,0.0006316278595477343
0.12274201959371567,0.9764999747276306,26,1322,,
,,26,1322,0.0007027909741736948,
,,27,1349,,0.0006225182441994548
0.12516222894191742,0.9760000109672546,27,1371,,
,,27,1371,0.0008474869537167251,
,,28,1399,,0.0005705560324713588
0.1258687674999237,0.9761000275611877,28,1420,,
,,28,1420,0.0005712523707188666,
,,29,1449,,0.0005651680985465646
0.12749511003494263,0.9761000275611877,29,1469,,
,,29,1469,0.0005812816089019179,
