train_loss_step,epoch,step,val_loss,val_acc,train_loss_epoch
1.6095340251922607,0,49,,,
,0,87,1.2342720031738281,0.5631276965141296,
,0,87,,,1.6061270236968994
1.2020282745361328,1,99,,,
1.0047048330307007,1,149,,,
,1,175,0.9959310293197632,0.6423959732055664,
,1,175,,,1.0953396558761597
0.8013452887535095,2,199,,,
0.8672814965248108,2,249,,,
,2,263,0.9129412770271301,0.6718077659606934,
,2,263,,,0.9149590134620667
0.8966552019119263,3,299,,,
0.6746534109115601,3,349,,,
,3,351,0.801872730255127,0.7062410116195679,
,3,351,,,0.7788103222846985
0.6720064878463745,4,399,,,
,4,439,0.7580605149269104,0.7313486337661743,
,4,439,,,0.664047360420227
0.5753231644630432,5,449,,,
0.42464005947113037,5,499,,,
,5,527,0.7102166414260864,0.7435437440872192,
,5,527,,,0.5743534564971924
0.4544561803340912,6,549,,,
0.44199806451797485,6,599,,,
,6,615,0.6915563344955444,0.7489239573478699,
,6,615,,,0.46689823269844055
0.3282443583011627,7,649,,,
0.3294845521450043,7,699,,,
,7,703,0.6600029468536377,0.7647058963775635,
,7,703,,,0.4009800851345062
0.29837527871131897,8,749,,,
,8,791,0.6527737379074097,0.7761836647987366,
,8,791,,,0.33389171957969666
0.22499918937683105,9,799,,,
0.39962059259414673,9,849,,,
,9,879,0.6832085251808167,0.7747489213943481,
,9,879,,,0.2701376974582672
0.24194106459617615,10,899,,,
0.178195983171463,10,949,,,
,10,967,0.6264029145240784,0.7916069030761719,
,10,967,,,0.22418272495269775
0.15153829753398895,11,999,,,
0.20842492580413818,11,1049,,,
,11,1055,0.6451830863952637,0.7916069030761719,
,11,1055,,,0.1749776154756546
0.18194237351417542,12,1099,,,
,12,1143,0.6891006827354431,0.7869440317153931,
,12,1143,,,0.14216171205043793
0.0805889219045639,13,1149,,,
0.08687110990285873,13,1199,,,
,13,1231,0.672123372554779,0.8002151846885681,
,13,1231,,,0.11045414209365845
0.09149402379989624,14,1249,,,
0.09413737058639526,14,1299,,,
,14,1319,0.7358162999153137,0.7908895015716553,
,14,1319,,,0.0998835638165474
0.07824204117059708,15,1349,,,
0.06977848708629608,15,1399,,,
,15,1407,0.6963062286376953,0.8052367568016052,
,15,1407,,,0.08170463144779205
0.08141705393791199,16,1449,,,
,16,1495,0.7109134197235107,0.8041607141494751,
,16,1495,,,0.06365548819303513
0.024710431694984436,17,1499,,,
0.05057008937001228,17,1549,,,
,17,1583,0.7495619654655457,0.8048780560493469,
,17,1583,,,0.052702948451042175
0.017468810081481934,18,1599,,,
0.035013552755117416,18,1649,,,
,18,1671,0.7406949996948242,0.8106169104576111,
,18,1671,,,0.04776548594236374
0.011774376034736633,19,1699,,,
0.018423231318593025,19,1749,,,
,19,1759,0.7745505571365356,0.809540867805481,
,19,1759,,,0.035932574421167374
0.07505160570144653,20,1799,,,
,20,1847,0.7352599501609802,0.8149210810661316,
,20,1847,,,0.02976643480360508
0.028525475412607193,21,1849,,,
0.022246818989515305,21,1899,,,
,21,1935,0.7553294897079468,0.8156384229660034,
,21,1935,,,0.02556510828435421
0.010107619687914848,22,1949,,,
0.012156378477811813,22,1999,,,
,22,2023,0.7415709495544434,0.8203012943267822,
,22,2023,,,0.019659485667943954
0.008957666344940662,23,2049,,,
0.009538868442177773,23,2099,,,
,23,2111,0.7513726949691772,0.8177905082702637,
,23,2111,,,0.013408544473350048
0.006945299915969372,24,2149,,,
0.0020270049571990967,24,2199,,,
,24,2199,0.8186854124069214,0.8127689957618713,
,24,2199,,,0.012139368802309036
0.0037080212496221066,25,2249,,,
,25,2287,0.8076609969139099,0.8156384229660034,
,25,2287,,,0.013285296969115734
0.00952831283211708,26,2299,,,
0.005420014262199402,26,2349,,,
,26,2375,0.7777166366577148,0.8203012943267822,
,26,2375,,,0.008602146059274673
0.06804836541414261,27,2399,,,
0.004915565252304077,27,2449,,,
,27,2463,0.8772402405738831,0.809540867805481,
,27,2463,,,0.00853046402335167
0.00367868784815073,28,2499,,,
0.0053191897459328175,28,2549,,,
,28,2551,0.8658829927444458,0.8052367568016052,
,28,2551,,,0.008095312863588333
0.003879192052409053,29,2599,,,
,29,2639,0.8974910378456116,0.8081061840057373,
,29,2639,,,0.0073221647180616856
