val_loss,val_acc,epoch,step,train_loss_epoch,train_loss_step
1.1890783309936523,0.8989999890327454,0,48,,
,,0,48,1.7692933082580566,
,,1,49,,1.1890465021133423
0.3789095878601074,0.9539999961853027,1,97,,
,,1,97,0.7192609310150146,
,,2,99,,0.3676674962043762
0.17032775282859802,0.9689000248908997,2,146,,
,,2,146,0.239174023270607,
,,3,149,,0.13462577760219574
0.11234460771083832,0.9749000072479248,3,195,,
,,3,195,0.11695851385593414,
,,4,199,,0.09872618317604065
0.09035419672727585,0.977400004863739,4,244,,
,,4,244,0.07367852330207825,
,,5,249,,0.062002360820770264
0.08204501122236252,0.9765999913215637,5,293,,
,,5,293,0.05048006772994995,
,,6,299,,0.031794287264347076
0.0767580196261406,0.9778000116348267,6,342,,
,,6,342,0.034456633031368256,
,,7,349,,0.028521034866571426
0.07853186875581741,0.9776999950408936,7,391,,
,,7,391,0.022785590961575508,
,,8,399,,0.015447518788278103
0.07742343842983246,0.9781000018119812,8,440,,
,,8,440,0.01737287826836109,
,,9,449,,0.016197994351387024
0.08124559372663498,0.9775000214576721,9,489,,
,,9,489,0.012736490927636623,
,,10,499,,0.012778481468558311
0.07978660613298416,0.9790999889373779,10,538,,
,,10,538,0.010932187549769878,
,,11,549,,0.006019756197929382
0.08334507048130035,0.9782000184059143,11,587,,
,,11,587,0.007155044935643673,
,,12,599,,0.005885615944862366
0.08596538752317429,0.9782999753952026,12,636,,
,,12,636,0.005811983719468117,
,,13,649,,0.00417078984901309
0.08729737251996994,0.9782999753952026,13,685,,
,,13,685,0.00489060441032052,
,,14,699,,0.0025933473370969296
0.0918220728635788,0.9775000214576721,14,734,,
,,14,734,0.0033218266908079386,
,,15,749,,0.0024619358591735363
0.09403179585933685,0.9775000214576721,15,783,,
,,15,783,0.003121391637250781,
,,16,799,,0.0021400926634669304
0.09812315553426743,0.9768000245094299,16,832,,
,,16,832,0.0023051209282130003,
,,17,849,,0.0017116486560553312
0.09941292554140091,0.977400004863739,17,881,,
,,17,881,0.0022588458377867937,
,,18,899,,0.0027272088918834925
0.10215432196855545,0.9768000245094299,18,930,,
,,18,930,0.0017849552677944303,
,,19,949,,0.001202198094688356
0.10388465225696564,0.9771000146865845,19,979,,
,,19,979,0.0014835934853181243,
,,20,999,,0.0012251867447048426
0.10722944140434265,0.9767000079154968,20,1028,,
,,20,1028,0.0013564082328230143,
,,21,1049,,0.0010746382176876068
0.10776208341121674,0.9768999814987183,21,1077,,
,,21,1077,0.0011619068682193756,
,,22,1099,,0.0011310065165162086
0.10971088707447052,0.9763000011444092,22,1126,,
,,22,1126,0.0010386696085333824,
,,23,1149,,0.0008897983352653682
0.11304473876953125,0.9764000177383423,23,1175,,
,,23,1175,0.000962801044806838,
,,24,1199,,0.0006992599810473621
0.11279094219207764,0.9765999913215637,24,1224,,
,,24,1224,0.0008381191291846335,
,,25,1249,,0.0007267978508025408
0.11521904170513153,0.9765999913215637,25,1273,,
,,25,1273,0.0007927844999358058,
,,26,1299,,0.0007371754618361592
0.1173362284898758,0.9767000079154968,26,1322,,
,,26,1322,0.0006875635590404272,
,,27,1349,,0.0005918001988902688
0.11938430368900299,0.9767000079154968,27,1371,,
,,27,1371,0.0007093998719938099,
,,28,1399,,0.0005978589178994298
0.1209881380200386,0.9764999747276306,28,1420,,
,,28,1420,0.0005801092484034598,
,,29,1449,,0.000616459408774972
0.1221572533249855,0.9764000177383423,29,1469,,
,,29,1469,0.0005361985531635582,
