train_loss_step,epoch,step,val_loss,val_acc,train_loss_epoch
1.656550407409668,0,49,,,
,0,87,1.2945438623428345,0.5616929531097412,
,0,87,,,1.6384018659591675
1.1052777767181396,1,99,,,
1.1247127056121826,1,149,,,
,1,175,1.0148652791976929,0.639167845249176,
,1,175,,,1.1629328727722168
0.8347586989402771,2,199,,,
0.9138588905334473,2,249,,,
,2,263,0.913040041923523,0.6725251078605652,
,2,263,,,0.9353185296058655
0.7480127811431885,3,299,,,
0.6346707344055176,3,349,,,
,3,351,0.819212794303894,0.707317054271698,
,3,351,,,0.8029032945632935
0.6390141248703003,4,399,,,
,4,439,0.7862361669540405,0.7134146094322205,
,4,439,,,0.6915792226791382
0.57648766040802,5,449,,,
0.5822389721870422,5,499,,,
,5,527,0.7255204319953918,0.7356528043746948,
,5,527,,,0.5827844142913818
0.5129325985908508,6,549,,,
0.4508628845214844,6,599,,,
,6,615,0.687300443649292,0.7539454698562622,
,6,615,,,0.5051666498184204
0.5210953950881958,7,649,,,
0.35704171657562256,7,699,,,
,7,703,0.7110437154769897,0.7507173418998718,
,7,703,,,0.42791834473609924
0.3516889214515686,8,749,,,
,8,791,0.6664720177650452,0.77546626329422,
,8,791,,,0.35031819343566895
0.28564953804016113,9,799,,,
0.15288501977920532,9,849,,,
,9,879,0.6600823402404785,0.7776183485984802,
,9,879,,,0.288478285074234
0.199076309800148,10,899,,,
0.1996087282896042,10,949,,,
,10,967,0.6493120193481445,0.784074604511261,
,10,967,,,0.24025793373584747
0.16723817586898804,11,999,,,
0.11132368445396423,11,1049,,,
,11,1055,0.6564587950706482,0.7869440317153931,
,11,1055,,,0.1871504932641983
0.1626056432723999,12,1099,,,
,12,1143,0.6689513325691223,0.794476330280304,
,12,1143,,,0.1518915891647339
0.10591961443424225,13,1149,,,
0.12149633467197418,13,1199,,,
,13,1231,0.6912742257118225,0.8027259707450867,
,13,1231,,,0.12110593914985657
0.1279570609331131,14,1249,,,
0.11632700264453888,14,1299,,,
,14,1319,0.7137948870658875,0.8084648251533508,
,14,1319,,,0.09253431111574173
0.04965299367904663,15,1349,,,
0.06510346382856369,15,1399,,,
,15,1407,0.7170991897583008,0.8084648251533508,
,15,1407,,,0.08112997561693192
0.10184555500745773,16,1449,,,
,16,1495,0.7189142107963562,0.8134863972663879,
,16,1495,,,0.07073285430669785
0.0366918221116066,17,1499,,,
0.038891613483428955,17,1549,,,
,17,1583,0.745613694190979,0.8120516538619995,
,17,1583,,,0.05160932615399361
0.03299511596560478,18,1599,,,
0.04319663718342781,18,1649,,,
,18,1671,0.7149627804756165,0.8145624399185181,
,18,1671,,,0.04412168636918068
0.07089359313249588,19,1699,,,
0.05929455906152725,19,1749,,,
,19,1759,0.7022046446800232,0.8263988494873047,
,19,1759,,,0.03918816149234772
0.023171981796622276,20,1799,,,
,20,1847,0.7398358583450317,0.8206599950790405,
,20,1847,,,0.028864553198218346
0.07970583438873291,21,1849,,,
0.022328153252601624,21,1899,,,
,21,1935,0.7548298239707947,0.821018636226654,
,21,1935,,,0.02506856992840767
0.015027042478322983,22,1949,,,
0.018551036715507507,22,1999,,,
,22,2023,0.7991563081741333,0.8174318671226501,
,22,2023,,,0.01745562255382538
0.013085232116281986,23,2049,,,
0.011231556534767151,23,2099,,,
,23,2111,0.8478260636329651,0.8134863972663879,
,23,2111,,,0.01964517869055271
0.010661222040653229,24,2149,,,
0.003945084288716316,24,2199,,,
,24,2199,0.793447732925415,0.8292682766914368,
,24,2199,,,0.013071965426206589
0.041112132370471954,25,2249,,,
,25,2287,0.8763993382453918,0.8091822266578674,
,25,2287,,,0.012678059749305248
0.008675592951476574,26,2299,,,
0.0065285200253129005,26,2349,,,
,26,2375,0.8266317844390869,0.8203012943267822,
,26,2375,,,0.011714975349605083
0.00611070217564702,27,2399,,,
0.04759027063846588,27,2449,,,
,27,2463,0.9776185750961304,0.8016499280929565,
,27,2463,,,0.008256503380835056
0.0034886030480265617,28,2499,,,
0.0118033979088068,28,2549,,,
,28,2551,0.7817296981811523,0.8289096355438232,
,28,2551,,,0.008995568379759789
0.036132607609033585,29,2599,,,
,29,2639,0.826444149017334,0.8185079097747803,
,29,2639,,,0.031367283314466476
